cell_idx,type,n_pre_cell,pr1,pr2,pr3,n_fol_cell,fo1,fo2,fo3,jam_den,capacity,turn_l,turn_th,turn_r,phase,demand,intersection,approach,num_lane,seg_idx,ncell2int,detect_cell,cell2lane,direction,detect_cell_0,detect_cell_1,detect_cell_2,detect_cell_3,detect_cell_4
37,0,1,36,0,0,1,38,0,0,5.3,4.0,0,0,0,0,0.0,3,2,2,2,6,37,"897491920_0,897491920_1",nan,37,,,,
38,0,1,37,0,0,1,39,0,0,5.3,4.0,0,0,0,0,0.0,3,2,2,2,5,38,"897491920_0,897491920_1",nan,38,,,,
39,0,1,38,0,0,1,40,0,0,5.3,4.0,0,0,0,0,0.0,3,2,2,1,4,39,"897491920_0,897491920_1",nan,39,,,,
40,0,1,39,0,0,1,41,0,0,8.0,6.0,0,0,0,0,0.0,3,2,3,1,3,40,"412646493_0,412646493_1,412646493_2",nan,40,,,,
41,0,1,40,0,0,1,42,0,0,8.0,6.0,0,0,0,0,0.0,3,2,3,1,2,41,"412646493_0,412646493_1,412646493_2",nan,41,,,,
42,1,1,41,0,0,3,43,44,45,8.0,6.0,0.0,0.811,0.189,0,0.0,3,2,3,0,1,42,"412646493_0,412646493_1,412646493_2",nan,,,,,
43,2,1,42,0,0,1,72,0,0,2.7,2.0,0,0,0,1,0.0,3,2,1,0,1,43,478958406_0,r,,,,,
44,2,1,42,0,0,1,17,0,0,5.3,4.0,0,0,0,1,0.0,3,2,2,0,1,44,"222786843_0,222786843_1",th,,,,,
45,2,1,42,0,0,1,98,0,0,2.7,2.0,0,0,0,2,0.0,3,2,1,0,1,45,-142178743_0,l,,,,,
46,3,3,15,71,95,1,47,0,0,5.3,4.0,0,0,0,0,0.0,3,0,2,0,0,,"-412646493_0,-412646493_1",nan,,,,,
47,0,1,46,0,0,1,48,0,0,5.3,4.0,0,0,0,0,0.0,3,0,2,0,0,,"-412646493_0,-412646493_1",nan,,,,,
48,0,1,47,0,0,1,49,0,0,5.3,4.0,0,0,0,0,0.0,3,0,2,0,0,,"-412646493_0,-412646493_1",nan,,,,,
49,0,1,48,0,0,1,50,0,0,8.0,6.0,0,0,0,0,0.0,3,0,3,0,0,,"-897491920_0,-897491920_1,-897491920_2",nan,,,,,
50,0,1,49,0,0,1,51,0,0,8.0,6.0,0,0,0,0,0.0,3,0,3,0,0,,"-897491920_0,-897491920_1,-897491920_2",nan,,,,,
51,0,1,50,0,0,1,52,0,0,8.0,6.0,0,0,0,0,0.0,3,0,3,0,0,,"-897491920_0,-897491920_1,-897491920_2",nan,,,,,
52,0,1,51,0,0,1,53,0,0,8.0,6.0,0,0,0,0,0.0,3,0,3,0,0,,"-897491920_0,-897491920_1,-897491920_2",nan,,,,,
